,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Amount
546,API,58,4,1575,579600.0
547,API,58,39,10,3540.0
548,API,58,47,20,7400.0
549,API,58,51,10,3700.0
550,API,58,48,802,295136.0
551,API,58,8,50,18450.0
552,API,58,58,1198,440864.0
553,API,58,39,500,181000.0
554,API,58,38,50,18500.0
555,API,58,33,50,18500.0
556,API,58,45,53,19663.0
557,API,58,58,91,33670.0
558,API,58,39,70,25970.0
559,API,58,58,50,18600.0
560,API,58,58,5,1880.0
561,API,58,36,19,7106.0
562,API,58,26,100,37400.0
563,API,58,38,15,5610.0
564,API,58,25,25,9350.0
565,API,58,25,100,37400.0
566,API,58,13,100,37400.0
567,API,58,58,100,37400.0
568,API,58,26,41,15334.0
569,API,58,25,95,35625.0
570,API,58,41,200,75200.0
571,API,58,58,185,69560.0
572,API,58,48,500,188000.0
573,API,58,41,10,3760.0
574,API,58,32,100,37600.0
575,API,58,22,200,75200.0
576,API,58,35,125,46875.0
577,API,58,33,70,26320.0
578,API,58,13,80,30080.0
579,API,58,52,28,10500.0
580,API,58,53,500,185500.0
581,API,58,16,40,14840.0
582,API,58,28,50,18500.0
583,API,58,40,10,3700.0
584,API,58,32,100,37000.0
585,API,58,36,100,37000.0
586,API,58,57,500,185000.0
587,API,58,10,20,7380.0
588,API,58,29,90,33210.0
589,API,58,29,10,3690.0
590,API,58,29,97,35793.0
591,API,58,21,80,29600.0
592,API,58,53,50,18500.0
593,API,58,51,40,14800.0
594,API,58,51,100,37000.0
595,API,58,44,57,21147.0
596,API,58,21,10,3710.0
597,API,58,11,58,21518.0
598,API,58,35,100,37000.0
599,API,58,38,15,5580.0
600,API,58,59,100,37300.0
601,API,58,57,300,112200.0
602,API,58,49,200,75000.0
603,API,58,51,32,11968.0
604,API,58,55,200,74800.0
605,API,58,56,100,37400.0
606,API,58,58,528,198528.0
607,API,58,45,100,37600.0
608,API,58,25,100,37600.0
609,API,58,14,200,75200.0
610,API,58,22,1000,376000.0
611,API,58,41,156,58656.0
612,API,58,58,15,5640.0
613,API,58,55,14,5264.0
614,API,58,28,77,28952.0
615,API,58,38,16,6016.0
616,API,58,36,300,112800.0
617,API,58,58,20,7520.0
618,API,58,59,200,75200.0
619,API,58,19,400,150400.0
620,API,58,22,50,18800.0
621,API,58,19,200,75200.0
622,API,58,48,1150,432400.0
623,API,58,22,200,75200.0
624,API,58,29,203,76328.0
625,API,58,45,50,18800.0
626,API,58,57,21,7896.0
627,API,58,42,20,7500.0
628,API,58,41,55,20625.0
629,API,58,14,39,14664.0
630,API,58,4,250,94000.0
631,API,58,18,80,30000.0
632,API,58,4,15,5640.0
633,API,58,4,100,37200.0
634,API,58,4,512,190464.0
635,API,58,4,100,37000.0
636,API,58,34,60,22560.0
637,API,58,37,250,94000.0
638,API,58,44,200,75200.0
639,API,58,49,16,6016.0
640,API,58,22,1000,376000.0
641,API,58,44,4079,1533704.0
642,API,58,35,15,5640.0
643,API,58,51,18,6768.0
644,API,58,16,200,75200.0
645,API,58,48,10,3760.0
646,API,58,55,220,82720.0
647,API,58,56,17,6392.0
648,API,58,34,441,165816.0
649,API,58,22,20,7520.0
650,API,58,39,2,752.0
651,API,58,36,70,26320.0
652,API,58,49,26,9776.0
653,API,58,49,30,11280.0
654,API,58,49,50,18800.0
655,API,58,10,100,37600.0
656,API,58,10,30,11280.0
657,API,58,36,132,49500.0
658,API,58,39,30,11280.0
659,API,58,48,200,75200.0
660,API,58,39,10,3750.0
661,API,58,32,75,28200.0
662,API,58,28,10,3760.0
663,BARUN,58,40,100,48700.0
664,BARUN,58,14,29,14094.0
665,BARUN,58,34,200,97200.0
666,BARUN,58,34,171,83106.0
667,BARUN,58,41,100,49000.0
668,BARUN,58,14,250,120250.0
669,BARUN,58,28,62,30690.0
670,BARUN,58,35,10,4950.0
671,BARUN,58,36,28,13860.0
672,BARUN,58,40,108,54216.0
673,BARUN,58,33,50,25100.0
674,BARUN,58,58,42,21084.0
675,BARUN,58,32,100,51200.0
676,BARUN,58,34,10,5120.0
677,BARUN,58,21,30,15360.0
678,BARUN,58,52,309,158826.0
